date,player,bet,win,x,game,provider,videoUrl,thumb,tags
08.12.2024,Moses,"1,00€","264,50 €","264,5",Wanted Dead or a Wild,Hacksaw Gaming,
09.09.2024,Robin,"0,20€","262,80 €","1314,0",Wanted Dead or a Wild,Hacksaw Gaming,
18.03.2024,Robin,"0,20€","253,00 €","1265,0",Wanted Dead or a Wild,Hacksaw Gaming,
10.12.2024,Moses,"1,00€","235,64 €","235,6",Wanted Dead or a Wild,Hacksaw Gaming,
17.11.2024,Moses,"0,20€","231,54 €","1157,7",Wanted Dead or a Wild,Hacksaw Gaming,
18.03.2024,Robin,"0,20€","219,56 €","1097,8",Wanted Dead or a Wild,Hacksaw Gaming,
19.04.2025,Moses,"0,12€","206,56 €","1721,3",Wanted Dead or a Wild,Hacksaw Gaming,
06.09.2024,Robin,"0,20€","204,64 €","1023,2",Wanted Dead or a Wild,Hacksaw Gaming,https://replay.hacksawgaming.com/?roundid=13561566600&partner=745&language=de,assets/img/wanted.avif
09.11.2024,Moses,"0,20€","193,40 €","967,0",Wanted Dead or a Wild,Hacksaw Gaming,
31.08.2025,Planki,"0,20€","187,76 €","938,8",Wanted Dead or a Wild,Hacksaw Gaming,https://dhh68l6ktxf70.cloudfront.net/replay-manager/?roundid=12007204057685&partner=2942&language=de-de&channel=desktop,assets/img/wanted.avif
24.12.2024,Robin,"0,12€","187,28 €","1560,7",Wanted Dead or a Wild,Hacksaw Gaming,
18.11.2024,Moses,"0,20€","184,00 €","920,0",Wanted Dead or a Wild,Hacksaw Gaming,
10.07.2024,Robin,"0,20€","183,90 €","919,5",Wanted Dead or a Wild,Hacksaw Gaming,https://replay.hacksawgaming.com/?roundid=12327493130&partner=745&language=de,assets/img/wanted.avif
27.03.2025,Moses,"0,20€","179,28 €","896,4",Wanted Dead or a Wild,Hacksaw Gaming,
11.09.2025,Moses,"1,00€","179,00 €","179,0",wanted Dead or a Wild,Hacksaw Gaming,
13.09.2023,Planki,"0,20€","176,40 €","882,0",Wanted Dead or a Wild,Hacksaw Gaming,
13.09.2024,Planki,"0,20€","176,40 €","882,0",Wanted Dead or a Wild,Hacksaw Gaming,https://replay.hacksawgaming.com/?roundid=1007360670132&partner=7&language=de,assets/img/wanted.avif
12.07.2024,Robin,"0,20€","176,00 €","880,0",Wanted Dead or a Wild,Hacksaw Gaming,
10.12.2024,Moses,"0,20€","150,70 €","753,5",Wanted Dead or a Wild,Hacksaw Gaming,
18.07.2024,Robin,"0,20€","142,20 €","711,0",Wanted Dead or a Wild,Hacksaw Gaming,https://replay.hacksawgaming.com/?roundid=12474674628&partner=745&language=de,assets/img/wanted.avif
14.01.2025,Moses,"0,06€","137,70 €","2295,0",Wanted Dead or a Wild,Hacksaw Gaming,
26.12.2024,Moses,"0,12€","129,14 €","1076,2",Wanted Dead or a Wild,Hacksaw Gaming,
07.12.2024,Moses,"0,40€","127,32 €","318,3",Wanted Dead or a Wild,Hacksaw Gaming,
08.09.2024,Simon,"0,12€","120,07 €","1000,6",Wanted Dead or a Wild,Hacksaw Gaming,
05.03.2025,Moses,"0,40€","119,26 €","298,2",Wanted Dead or a Wild,Hacksaw Gaming,
18.11.2024,Moses,"0,40€","118,64 €","296,6",Wanted Dead or a Wild,Hacksaw Gaming,
23.07.2024,Robin,"0,20€","115,50 €","577,5",Wanted Dead or a Wild,Hacksaw Gaming,https://replay.hacksawgaming.com/?roundid=12585068109&partner=745&language=de,assets/img/wanted.avif
08.12.2024,Moses,"1,20€","114,48 €","95,4",Wanted Dead or a Wild,Hacksaw Gaming,
